epoch,loss,output1_loss,output2_loss,output3_loss,output_fuse_loss,output_fuse_ofuse_pixel_error,val_loss,val_output1_loss,val_output2_loss,val_output3_loss,val_output_fuse_loss,val_output_fuse_ofuse_pixel_error
0,0.06260668486356735,0.019496172666549683,0.015692846849560738,0.008892670273780823,0.018524987623095512,0.5474370121955872,0.024306802079081535,0.006334083154797554,0.006888645235449076,0.00577508844435215,0.005308982916176319,0.08826855570077896
1,0.03032059408724308,0.0076185050420463085,0.00919731892645359,0.006948181428015232,0.006556585896760225,0.3173828721046448,0.024601690471172333,0.004143868573009968,0.006798029877245426,0.007656638976186514,0.00600315211340785,0.1417326182126999
2,0.031092725694179535,0.007167871575802565,0.008332978934049606,0.008369963616132736,0.007221908308565617,0.352826327085495,0.016827428713440895,0.004166082013398409,0.004946873057633638,0.004106036387383938,0.0036084381863474846,0.18359746038913727
3,0.027342896908521652,0.006382796447724104,0.007214193698018789,0.007442635018378496,0.0063032666221261024,0.28382599353790283,0.018695617094635963,0.004391459282487631,0.005064474418759346,0.004795038141310215,0.004444645252078772,0.21540313959121704
4,0.025045309215784073,0.005754408892244101,0.006679288577288389,0.006962301209568977,0.005649315193295479,0.2496461570262909,0.01792846992611885,0.004304427653551102,0.004979901947081089,0.004744121339172125,0.003900018520653248,0.25530722737312317
5,0.02492966316640377,0.005885390564799309,0.006513985339552164,0.0068987770937383175,0.005631514824926853,0.25479328632354736,0.01638515293598175,0.003736827289685607,0.004327698145061731,0.004710086155682802,0.0036105408798903227,0.1500617265701294
6,0.021022118628025055,0.004728584550321102,0.005453951191157103,0.006271276623010635,0.0045683011412620544,0.1732071042060852,0.01429902482777834,0.003974000457674265,0.0037964563816785812,0.003469580551609397,0.0030589865054935217,0.09623593837022781
7,0.01884133741259575,0.004185311496257782,0.0050428640097379684,0.0056297676637768745,0.003983397502452135,0.15681518614292145,0.015639351680874825,0.003724838839843869,0.004497799091041088,0.00425103260204196,0.0031656811479479074,0.10504686832427979
8,0.019775928929448128,0.0046480316668748856,0.005158266983926296,0.00574723444879055,0.004222395829856396,0.15055754780769348,0.01663130521774292,0.0050830417312681675,0.0035914096515625715,0.003888375125825405,0.004068478476256132,0.08375019580125809
9,0.0169769749045372,0.0038667391054332256,0.004490157589316368,0.005138218868523836,0.0034818595740944147,0.13340188562870026,0.01012088917195797,0.0026388103142380714,0.002350125228986144,0.0030450194608420134,0.002086934633553028,0.09300801157951355
10,0.014798535034060478,0.0032674926333129406,0.0037068489473313093,0.004719702061265707,0.003104490926489234,0.12836246192455292,0.011948433704674244,0.0028143832460045815,0.002974581439048052,0.0036287643015384674,0.002530704950913787,0.0850195363163948
11,0.015547854825854301,0.0036108125932514668,0.0039252471178770065,0.004748405423015356,0.0032633934170007706,0.11788114905357361,0.010651794262230396,0.0028399943839758635,0.0027735347393900156,0.0028756579849869013,0.0021626066882163286,0.0934978574514389
12,0.013391867280006409,0.003159009385854006,0.003307919017970562,0.004173366352915764,0.0027515734545886517,0.10531997680664062,0.007910145446658134,0.0020056581124663353,0.0019958792254328728,0.0023159589618444443,0.0015926490304991603,0.08972401916980743
13,0.013493127189576626,0.003159057581797242,0.0033591079991310835,0.004192512948065996,0.0027824437711387873,0.11009413748979568,0.010151267983019352,0.0022430510725826025,0.002692350884899497,0.0030593671835958958,0.002156499307602644,0.07153144478797913
14,0.01146794855594635,0.0026742133777588606,0.0028102172072976828,0.0036315706092864275,0.0023519473616033792,0.09810315817594528,0.010863298550248146,0.002313729841262102,0.0029301648028194904,0.003422626294195652,0.002196778077632189,0.0772160142660141
15,0.011101778596639633,0.002733358182013035,0.0026857631746679544,0.0034192558377981186,0.002263403497636318,0.09277278929948807,0.008231683634221554,0.0019211177714169025,0.0021141362376511097,0.002467539394274354,0.0017288909293711185,0.0670207068324089
16,0.01084988284856081,0.002555899554863572,0.0026601122226566076,0.0034416893031448126,0.002192181535065174,0.08983875811100006,0.010533795692026615,0.002401852048933506,0.003370286663994193,0.0026300838217139244,0.002131572924554348,0.0536857433617115
17,0.010294538922607899,0.0024737787898629904,0.002531197853386402,0.0032429848797619343,0.0020465769339352846,0.0837179496884346,0.008856138214468956,0.002349693328142166,0.002454983303323388,0.0021775842178612947,0.0018738774815574288,0.06406191736459732
18,0.013190818950533867,0.0032244620379060507,0.003269144333899021,0.004021936561912298,0.002675276715308428,0.09725405275821686,0.019418127834796906,0.003476693294942379,0.006409503519535065,0.005409128963947296,0.004122801125049591,0.0524054691195488
19,0.014529449865221977,0.0037948882672935724,0.0036454449873417616,0.00419326638802886,0.0028958485927432775,0.09980638325214386,0.009784177877008915,0.00276224035769701,0.002587665105238557,0.0025369685608893633,0.0018973047845065594,0.06650000065565109
